URI_Name;Provincia;Canton;Parroquia;Latitud;Longitud;Nombre;Direccion;Tipo;RegimenEscolar;Modalidad;JornadaLaboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
COLEGIODEBACHILLERATOMONSLEONIDASPROAnOVILLALBA;Loja_Province;CATAMAYO;ELTAMBO;-4,071662614;-79,30639171;COLEGIO DE BACHILLERATO MONS LEONIDAS PROAÑO VILLALBA;   PARROQUIA EL TAMBO;FiscalHighSchool;Costa;Presencial;Matutina;8;7;15;4;89;139;228
COLEGIODEBACHILLERATOPARTICULARANTONIOPEnACELI;Loja_Province;LOJA;VALLE;-3,994387517;-79,20302909;COLEGIO DE BACHILLERATO PARTICULAR  ANTONIO PEÑA CELI;BARRIO COLINAS DE BELEN  COLINAS DE BELEN ;ReligiousHighSchool;Sierra;Presencial;Matutina;13;8;21;12;141;163;304
COLEGIODEBACHILLERATOPARTICULARCORDILLERA;Loja_Province;LOJA;ELSAGRARIO;-3,996074172;-79,20108054;COLEGIO DE BACHILLERATO PARTICULAR CORDILLERA;BERNARDO VALDIVIESO 06-34 JOSÉ ANTONIO EGUIGUREN ;LaicHighSchool;Sierra;Presencial;Matutina;23;8;31;8;128;118;246
COLEGIODEBACHILLERATOPARTICULARDRJOSEMARIAVIVARCASTRO;Loja_Province;LOJA;SUCRE;-3,980536;-79,224648;COLEGIO DE BACHILLERATO PARTICULAR DR JOSE MARIA VIVAR CASTRO;BELEN BAJO  CHARITI Y PROLONGACION DE LA BUENA VENTURA ;LaicHighSchool;Sierra;Presencial;Matutina;3;2;5;3;15;32;47
COLEGIODEBACHILLERATOPARTICULAREUGENIOESPEJO;Loja_Province;LOJA;VALLE;-3,957447939;-79,21080726;COLEGIO DE BACHILLERATO PARTICULAR EUGENIO ESPEJO;AV. SALVADOR BUSTAMANTE CELI 00 S/N ;LaicHighSchool;Sierra;Presencial;Matutina;39;11;50;27;432;335;767
COLEGIODEBACHILLERATOPARTICULARIBEROAMERICANOSANAGUSTÍN;Loja_Province;LOJA;VALLE;-3,973193312;-79,19947356;COLEGIO DE BACHILLERATO PARTICULAR IBEROAMERICANO SAN AGUSTÍN;AGUSTIN CARRION  AVENIDA SALVADOR BUSTAMANTE CELI ;LaicHighSchool;Sierra;Presencial;Matutina;12;6;18;5;95;89;184
COLEGIODEBACHILLERATOPARTICULARMIGUELANGELSUAREZ;Loja_Province;LOJA;VALLE;-3,981580628;-79,20175135;COLEGIO DE BACHILLERATO PARTICULAR MIGUEL ANGEL SUAREZ;AV SALVADOR BUSTAMANTE CELI  AV GUAYAQUIL Y PASAJE ;ReligiousHighSchool;Sierra;Presencial;Matutina;5;11;16;6;70;167;237
COLEGIODEBACHILLERATOPARTICULARPARAPCEIDRJOSEMARIAVIVARCASTRO;Loja_Province;LOJA;SUCRE;-3,980643;-79,224691;COLEGIO DE BACHILLERATO PARTICULAR PARA PCEI DR JOSE MARIA VIVAR CASTRO;BELEN BAJO  CALLE CHARITY 0000000 BUENA VENTURA ;LaicHighSchool;Sierra;Distancia;Matutina;3;4;7;3;45;85;130
COLEGIODEBACHILLERATOPARTICULARPCEIAMAZONAS;Loja_Province;LOJA;ELSAGRARIO;-3,999989051;-79,20497079;COLEGIO DE BACHILLERATO PARTICULAR PCEI AMAZONAS;AVENIDA MANUEL AGUSTIN AGUIRRE 1063 ENTRE MIGUEL RIOFRIO Y AZUAY ;LaicHighSchool;Costa;Semipresencial;Matutina,Vespertina;7;2;9;9;26;50;76
COLEGIODEBACHILLERATOPARTICULARPCEIAMAZONAS;Loja_Province;LOJA;SUCRE;-3,999861389;-79,20448485;COLEGIO DE BACHILLERATO PARTICULAR PCEI AMAZONAS;AV MANUEL AGUISTIN AGUIRRE 10-63 AZUAY Y MIGUEL RIOFRIO ;LaicHighSchool;Sierra;Distancia;Matutina,Vespertina,Nocturno;6;4;10;10;99;182;281
COLEGIODEBACHILLERATOPARTICULARPCEIISIDROAYORACUEVA;Loja_Province;LOJA;SANSEBASTIAN;-4,002499463;-79,19522284;COLEGIO DE BACHILLERATO PARTICULAR PCEI ISIDRO AYORA CUEVA;AV. EMILIANO ORTEGA 1101-93 LOURDES ;LaicHighSchool;Sierra;Distancia;Matutina;10;2;12;3;155;165;320
COLEGIODEBACHILLERATOPARTICULARSANGERARDO;Loja_Province;LOJA;SANSEBASTIAN;-4,05210709;-79,19569882;COLEGIO DE BACHILLERATO PARTICULAR SAN GERARDO;KM  TRES Y MEDIO   VIA VILCABAMBA 1171 SIN NOMBRE ;LaicHighSchool;Sierra;Presencial;Matutina;59;20;79;24;434;478;912
COLEGIODEBACHILLERATOPCEIPIOJARAMILLOALVARADO;Loja_Province;LOJA;SANSEBASTIAN;-4,003418391;-79,2018839;COLEGIO DE BACHILLERATO PCEI  PIO JARAMILLO ALVARADO;BOLíVAR 1479 CATACOCHA ;FiscalHighSchool;Sierra;Semipresencial;Matutina;10;2;12;1;71;17;88
COLEGIODEBACHILLERATOPEDROVICTORFALCONI;Loja_Province;CATAMAYO;ZAMBI;-3,912498028;-79,53111095;COLEGIO DE BACHILLERATO PEDRO VICTOR FALCONI;   Calle sin nombre entrada a la parroquia Colina Alta;FiscalHighSchool;Costa;Presencial;Matutina;4;5;9;1;33;48;81
COLEGIODEBACHILLERATOPINDAL;Loja_Province;PINDAL;PINDAL;-4,116250853;-80,10455796;COLEGIO DE BACHILLERATO PINDAL;   BARRIO EL PANECILLO;FiscalHighSchool;Costa;Presencial;Matutina;24;12;36;4;402;453;855
COLEGIODEBACHILLERATOPRESIDENTEISIDROAYORA;Loja_Province;LOJA;SUCRE;-3,983334235;-79,21805375;COLEGIO DE BACHILLERATO PRESIDENTE ISIDRO AYORA;AVENIDA VIRGILIO RODAS  SIN NOMBRE ;FiscalHighSchool;Sierra;Presencial;Nocturno;2;5;7;1;52;68;120
COLEGIODEBACHILLERATOPROCERJOSEPICOITA;Loja_Province;CELICA;CRUZPAMBA;-4,161499347;-80,00085722;COLEGIO DE BACHILLERATO PROCER JOSE PICOITA;   PARROQUIA CRUZPAMBA;FiscalHighSchool;Costa;Presencial;Matutina;5;6;11;3;85;113;198
COLEGIODEBACHILLERATORAFAELRODRIGUEZPALACIOS;Loja_Province;LOJA;MALACATOS(VALLADOLID);-4,219218087;-79,25850274;COLEGIO DE BACHILLERATO RAFAEL RODRIGUEZ PALACIOS;   VIA A MALACATOS;FiscalHighSchool;Sierra;Presencial;Vespertina,Nocturno;12;4;16;3;96;154;250
COLEGIODEBACHILLERATORAMONRIOFRIOBUSTAMANTE;Loja_Province;PINDAL;CHAQUINAL;-4,046448046;-80,03658079;COLEGIO DE BACHILLERATO RAMON RIOFRIO BUSTAMANTE;   CHAQUINAL;FiscalHighSchool;Costa;Presencial;Matutina;4;5;9;2;60;85;145
COLEGIODEBACHILLERATOROSAHERLINDAGARCIADEGARCIA;Loja_Province;ESPINDOLA;AMALUZA;-4,580168165;-79,42836141;COLEGIO DE BACHILLERATO ROSA HERLINDA GARCIA DE GARCIA;LUIS CORDERO  LUIS CORDERO ;FiscalHighSchool;Costa;Presencial;Matutina;10;4;14;2;149;148;297
COLEGIODEBACHILLERATORVDOJORGESANCHEZMORENO;Loja_Province;MACARA;SABIANGO(LACAPILLA);-4,367053431;-79,81238578;COLEGIO DE BACHILLERATO RVDO JORGE SANCHEZ MORENO;   CALLE MACARA Y AV. MACARA;FiscalHighSchool;Costa;Presencial;Matutina;5;5;10;6;17;16;33
COLEGIODEBACHILLERATOSANPEDRODEVILCABAMBA;Loja_Province;LOJA;SANPEDRODEVILCABAMBA;-4,238250234;-79,21772165;COLEGIO DE BACHILLERATO SAN PEDRO DE VILCABAMBA;   BARRIO PANECILLO;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;6;7;13;4;94;88;182
COLEGIODEBACHILLERATOSANVICENTEFERRER;Loja_Province;LOJA;CHUQUIRIBAMBA;-3,844691247;-79,34177571;COLEGIO DE BACHILLERATO SAN VICENTE FERRER;   BARRIO SAN VICENTE;FiscomitionalHighSchool;Sierra;Presencial;Matutina;13;10;23;4;92;132;224
COLEGIODEBACHILLERATOTNTEMAXIMILIANORODRIGUEZ;Loja_Province;CELICA;POZUL(SANJUANDEPOZUL);-4,116750042;-80,0590275;COLEGIO DE BACHILLERATO TNTE MAXIMILIANO RODRIGUEZ;   PARROQUIA POZUL;FiscalHighSchool;Costa;Presencial;Matutina;9;10;19;5;160;134;294
COLEGIODEBACHILLERATOTRECEDENOVIEMBRE;Loja_Province;CELICA;SABANILLA;-4,208333502;-80,12583419;COLEGIO DE BACHILLERATO TRECE DE NOVIEMBRE;   PARROQUIA SABANILLA;FiscalHighSchool;Costa;Presencial;Matutina;5;6;11;4;71;87;158
COLEGIODEBACHILLERATOVILCABAMBA;Loja_Province;LOJA;VILCABAMBA(VICTORIA);-4,261248298;-79,21905593;COLEGIO DE BACHILLERATO VILCABAMBA;   AV  DIEGO VACA DE VEGA  Y LA PAZ KM 1 VIA A YAMBURARA;FiscalHighSchool;Sierra;Presencial;Matutina,Nocturno;24;10;34;5;313;300;613
COLEGIODEBACHILLERATOZAPOTILLO;Loja_Province;ZAPOTILLO;ZAPOTILLO;-4,385360901;-80,24358226;COLEGIO DE BACHILLERATO ZAPOTILLO;CALLE PALETILLAS  9 DE OCTUBRE ;FiscalHighSchool;Costa;Presencial;Matutina;10;8;18;4;133;129;262
COLEGIONACIONALNOCTURNOCATAMAYO;Loja_Province;CATAMAYO;CATAMAYO;-3,985309193;-79,36308314;COLEGIO NACIONAL NOCTURNO CATAMAYO;18 DE AGOSTO 04-55 ENTRE OLMEDO Y EUGENIO ESPEJO BARRIO EL PORVENIR ;FiscalHighSchool;Sierra;Presencial;Nocturno;11;15;26;2;220;276;496
ESCUELADEEDUCACIONBASICACABOCASTILLO;Loja_Province;ESPINDOLA;BELLAVISTA;-4,504997303;-79,4525027;ESCUELA DE EDUCACION BASICA CABO CASTILLO;   BARRIO JIBIRUCHE;FiscalHighSchool;Costa;Presencial;Matutina;7;7;14;0;92;120;212
COLEGIODEBACHILLERATOFRONTERASUR;Loja_Province;PALTAS;CANGONAMA;-3,966531349;-79,70111315;COLEGIO DE BACHILLERATO FRONTERA SUR;   A 50 METROS DEL PARQUE;FiscalHighSchool;Costa;Presencial;Matutina;2;7;9;2;32;34;66
ESCUELADEEDUCACIONBASICAGENERALMOISESOLIVA;Loja_Province;CALVAS;UTUANA;-4,362196707;-79,72444086;ESCUELA DE EDUCACION BASICA GENERAL MOISES OLIVA;   PARROQUIA UTUANA;FiscalHighSchool;Costa;Presencial;Matutina;12;5;17;4;89;107;196
ESCUELADEEDUCACIÓNBÁSICALAURODAMERVALAYORAN1;Loja_Province;LOJA;SANSEBASTIAN;-4,013392764;-79,20624719;ESCUELA DE EDUCACIÓN BÁSICA LAURO DAMERVAL AYORA N 1;AVENIDA BENJAMIN CARRION 21197 PABLO PALACIO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;41;15;56;2;510;687;1197
COLEGIODEBACHILLERATOMANUELJOSEJARAMILLO;Loja_Province;PALTAS;CASANGA;-4,01386084;-79,76466972;COLEGIO DE BACHILLERATO MANUEL  JOSE  JARAMILLO;   CENTRO PARROQUIA CASANGA - TRAS LA IGLESIA;FiscalHighSchool;Costa;Presencial;Matutina;4;5;9;4;58;49;107
COLEGIODEBACHILLERATOMACANDAMINE;Loja_Province;PALTAS;CASANGA;-4,015836874;-79,7263348;COLEGIO DE BACHILLERATO MACANDAMINE;   BARRIO MACANDAMINE;FiscalHighSchool;Costa;Presencial;Matutina;5;3;8;3;38;32;70
INSTITUTOTECNOLOGICOSUPERIORCARIAMANGA;Loja_Province;CALVAS;CARIAMANGA;-4,333292135;-79,5547447;INSTITUTO TECNOLOGICO SUPERIOR CARIAMANGA;JOSE ANGEL PALACIOS  GONZALEZ SUARES Y  MIGUEL PERALTA ;FiscalHighSchool;Costa;Presencial;Matutina;25;25;50;9;189;211;400
JOSEMARIAVELAZSJEXTENSIONN2CATAMAYO;Loja_Province;CATAMAYO;CATAMAYO;-3,990003605;-79,35905773;JOSE MARIA VELAZ SJ EXTENSION N2 CATAMAYO;NUEVE DE OCTUBRE 00 BOLIVAR Y EUGENIO ESPEJO ;LaicHighSchool;Sierra;Distancia;Matutina,Vespertina;7;5;12;5;42;39;81
RAMONSAMANIEGOPALACIOS;Loja_Province;PUYANGO;ELARENAL;-3,96169459;-79,9868363;RAMON SAMANIEGO PALACIOS;   VIA PRINCIPAL DE EL ARENAL;FiscalHighSchool;Costa;Presencial;Matutina;5;5;10;3;64;64;128
UNIDADEDUCATIVAFISCOMISIONALDOMINGOCELI;Loja_Province;PALTAS;CATACOCHA;-4,049385997;-79,64994149;UNIDAD EDUCATIVA FISCOMISIONAL DOMINGO CELI;DOMINGO CELI 7302 PALTAS E INDEPENDENCIA ;FiscomitionalHighSchool;Costa;Presencial;Matutina;34;8;42;3;479;373;852
TECNICOPUYANGO;Loja_Province;PUYANGO;ALAMOR;-4,016247769;-80,02386182;TECNICO PUYANGO;GABRIEL CAIZA  SUCRE ;FiscalHighSchool;Costa;Presencial;Matutina;12;19;31;6;169;189;358
U.E.ELOYALFARO;Loja_Province;CALVAS;SANVICENTE;-4,330880748;-79,55176715;U. E. ELOY ALFARO;   BARRIO SAN VICENTE;FiscalHighSchool;Costa;Presencial;Matutina,Nocturno;39;36;75;13;412;543;955
UNIDADEDUCATIVAPEDROVICENTEMALDONADO;Loja_Province;SARAGURO;ELPARAISODECELEN;-3,623412;-79,24087;UNIDAD EDUCATIVA PEDRO VICENTE MALDONADO;   CENTRO CELEN  VAUDILIO ARIAS Y VEINTE Y CUATRO  DE MAYO;FiscalHighSchool;Sierra;Presencial;Matutina;12;8;20;0;170;175;345
UNIDADEDUCATIUVANAMBACOLA;Loja_Province;GONZANAMA;NAMBACOLA;-4,133852;-79,423759;UNIDAD EDUCATIUVA NAMBACOLA;   A DOSCIENTOS METROS DEL PARQUE CENTRAL;FiscalHighSchool;Costa;Presencial;Matutina;6;15;21;6;121;138;259
UNIDADEDUCATIVACORAZONDEMARIA;Loja_Province;LOJA;ELCISNE;-3,850611386;-79,42566665;UNIDAD EDUCATIVA  CORAZON DE MARIA;   JUNTO AL CAMPO MARIANO;FiscomitionalHighSchool;Sierra;Presencial;Matutina;12;6;18;2;90;99;189
UNIDADEDUCATIVAFISCOMISIONALJULIOERNESTOCELI;Loja_Province;ESPINDOLA;JIMBURA;-4,626669281;-79,4613898;UNIDAD EDUCATIVA  FISCOMISIONAL JULIO ERNESTO CELI;   CALLE 24 DE ABRIL Y AVENIDA AMALUZA;FiscomitionalHighSchool;Costa;Presencial;Matutina;10;8;18;5;145;142;287
UNIDADEDUCATIVAMARIAAUXILIADORA;Loja_Province;CALVAS;CARIAMANGA;-4,32730119;-79,55745889;UNIDAD EDUCATIVA  MARIA AUXILIADORA;   BARRIO  CENTRAL;FiscomitionalHighSchool;Costa;Presencial;Matutina;26;8;34;3;501;153;654
UNIDADEDUCATIVABERNARDOVALDIVIESO;Loja_Province;LOJA;SANSEBASTIAN;-4,009221002;-79,20069167;UNIDAD EDUCATIVA BERNARDO VALDIVIESO;AV. EDUARDO KINGMAN 00 PABLO NERUDA Y CATAMAYO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina,Nocturno;91;75;166;31;1.257;2239;3496
UNIDADEDUCATIVABRASIL;Loja_Province;ZAPOTILLO;ZAPOTILLO;-4,382505;-80,238594;UNIDAD EDUCATIVA BRASIL;   BARRIO CEIBA CHICA;FiscalHighSchool;Costa;Presencial;Matutina;8;7;15;4;112;115;227
COLEGIODEBACHILLERATO29DEMAYO;Loja_Province;PALTAS;GUACHANAMA;-4,047777621;-79,88194598;COLEGIO DE BACHILLERATO 29 DE MAYO;   PARROQUIA GUACHANAMA BARRIO CENTRAL;FiscalHighSchool;Costa;Presencial;Matutina;6;3;9;4;14;44;58
UNIDADEDUCATIVACOMUNITARIAINTERCULTURALBILINGUERUMInAHUI;Loja_Province;LOJA;SANLUCAS;-3,712280517;-79,26608084;UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE RUMIÑAHUI;   BARRIO PICHIG;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;11;6;17;1;101;102;203
UNIDADEDUCATIVACOTOPAXI;Loja_Province;ESPINDOLA;SANTATERESITA;-4,545530756;-79,41536104;UNIDAD EDUCATIVA COTOPAXI;   VIA AMALUZA CARIAMANGA BARRIO CANGOCHARA;FiscalHighSchool;Costa;Presencial;Matutina;6;10;16;0;88;89;177
UNIDADEDUCATIVADELMILENIO5DEJUNIO;Loja_Province;MACARA;MACARA(MANUELENRIQUERENGELSUQUILANDA);-4,385777849;-79,95236415;UNIDAD EDUCATIVA DEL MILENIO  5 DE JUNIO;AURIA MARIA ARIAS  MAXIMO ARTURO ROMAN Y ZOILA HERRERA ;FiscalHighSchool;Costa;Presencial;Matutina;18;4;22;2;188;208;396
UNIDADEDUCATIVADRMANUELAGUSTINCABRERALOZANO;Loja_Province;LOJA;SANSEBASTIAN;-4,029642462;-79,21463985;UNIDAD EDUCATIVA DR MANUEL AGUSTIN CABRERA LOZANO;CALLE PABLO PALACIOS  BARRIO SANTA TERESITA   SE UTILIZA LA INSTALACIONES DEL COLEGIO DE BACHILLERATO   VEINTE Y SIETE  DE ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;24;18;42;4;381;495;876
UNIDADEDUCATIVAEXPERIMENTALPARACIEGOSLUISBRAILLE;Loja_Province;LOJA;SANSEBASTIAN;-4,014753366;-79,19996822;UNIDAD EDUCATIVA EXPERIMENTAL PARA CIEGOS LUIS BRAILLE;BUGANVILLAS 2427 AVENIDA GOBERNACION DE MAINAS ;FiscalHighSchool;Sierra;Presencial;Nocturno;4;6;10;5;14;19;33
COLEGIODEBACHILLERATOTCNELLAUROGUERRERO;Loja_Province;PALTAS;LAUROGUERRERO;-3,967940278;-79,75849711;COLEGIO DE BACHILLERATO TCNEL LAURO GUERRERO;   BARRIO EL CASTILLO;FiscalHighSchool;Costa;Presencial;Matutina;4;6;10;5;49;66;115
ESCUELADEEDUCACIONBASICALATACUNGA;Loja_Province;SARAGURO;LLUZHAPA;-3,501028773;-79,33930508;ESCUELA DE EDUCACION BASICA LATACUNGA;   PARROQUIA  LLUZHAPA;FiscalHighSchool;Costa;Presencial;Matutina;9;5;14;0;86;116;202
